[bonsai2-run +0.002s] staging Ternary-Bonsai-2-27B-PQ2_0.gguf Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf -> /dev/shm/models (8 streams/file)
[bonsai2-run +3.036s] staged 7.8G
[bonsai2-run +3.037s] exec llama-server -m /dev/shm/models/Ternary-Bonsai-2-27B-PQ2_0.gguf -ngl 999 -fa on -c 8192 -np 1 --host 0.0.0.0 --port 8080 --no-warmup --metrics --jinja -md /dev/shm/models/Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf --spec-type draft-dflash --spec-draft-n-max 3 -ngld 999
0.00.126.521 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.126.866 W srv  llama_server: -----------------
0.00.126.871 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.126.871 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.126.871 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.126.871 W srv  llama_server: -----------------
0.00.128.150 I srv    load_model: loading model '/dev/shm/models/Ternary-Bonsai-2-27B-PQ2_0.gguf'
0.01.058.077 E llama_init_from_model: failed to initialize the context: dflash requires ctx_other to be set (this warning is normal during memory fitting)
0.01.103.951 W operator(): failed to measure the memory of the extra model, fitting without it: failed to create llama_context from model
0.02.810.587 I cmn          init: llama threadpool init, n_threads = 24
0.02.810.624 I common_speculative_init_result: loading draft model '/dev/shm/models/Qwen3.8-27B-DFlash2-r3-Q4_K_M.gguf'
0.03.546.839 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.03.546.855 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.03.546.857 I common_speculative_impl_draft_dflash: - n_max=3, n_min=0, p_min=0.00
0.03.546.858 I common_speculative_impl_draft_dflash: - block_size=8, mask_token_id=248070, n_extract=5, sample_from_anchor=true, lineage=dflash
0.03.599.603 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.03.599.618 I srv  llama_server: model loaded
0.03.599.621 I srv  llama_server: listening on http://0.0.0.0:8080
0.03.599.621 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.03.599.621 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.04.145.883 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.145.952 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.07.893.952 I slot print_timing: id  0 | task 0 | n_gen =    184, tg =  60.24 t/s, tg_3s =  60.57 t/s
0.08.378.249 I slot print_timing: id  0 | task 0 | prompt eval time =     710.10 ms /   171 tokens (    4.15 ms per token,   240.81 tokens per second)
0.08.378.256 I slot print_timing: id  0 | task 0 |        eval time =    3522.17 ms /   212 tokens (   16.69 ms per token,    59.91 tokens per second)
0.08.378.256 I slot print_timing: id  0 | task 0 |       total time =    4232.27 ms /   383 tokens
0.08.378.257 I slot print_timing: id  0 | task 0 |    graphs reused =         53
0.08.378.260 I slot print_timing: id  0 | task 0 | draft acceptance = 0.95152 (  157 accepted /   165 generated), mean len =  3.85
0.08.378.303 I slot      release: id  0 | task 0 | stop processing: n_tokens = 383, truncated = 0
0.08.381.382 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.130 (> 0.100 thold), f_keep = 0.091
0.08.551.706 I slot launch_slot_: id  0 | task 58 | processing task, is_child = 0
0.12.316.646 I slot print_timing: id  0 | task 58 | n_gen =    201, tg =  66.64 t/s, tg_3s =  66.97 t/s
0.14.366.687 I slot print_timing: id  0 | task 58 | prompt eval time =     763.59 ms /   269 tokens (    2.84 ms per token,   352.28 tokens per second)
0.14.366.694 I slot print_timing: id  0 | task 58 |        eval time =    5051.36 ms /   321 tokens (   15.79 ms per token,    63.35 tokens per second)
0.14.366.694 I slot print_timing: id  0 | task 58 |       total time =    5814.95 ms /   590 tokens
0.14.366.695 I slot print_timing: id  0 | task 58 |    graphs reused =        135
0.14.366.698 I slot print_timing: id  0 | task 58 | draft acceptance = 0.94048 (  237 accepted /   252 generated), mean len =  3.82
0.14.366.738 I slot      release: id  0 | task 58 | stop processing: n_tokens = 590, truncated = 0
0.14.369.930 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2714969957
0.14.551.106 I slot launch_slot_: id  0 | task 145 | processing task, is_child = 0
0.18.528.405 I slot print_timing: id  0 | task 145 | n_gen =    201, tg =  66.35 t/s, tg_3s =  66.68 t/s
0.21.538.940 I slot print_timing: id  0 | task 145 | n_gen =    397, tg =  65.73 t/s, tg_3s =  65.10 t/s
